Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021]
"Congo, Rep.",COG,..,40.173679367009,129.158575405591,37.7125480946685,45
Costa Rica,CRI,48.7,53.8219877576884,132.020379357514,0.763407374189705,84
Cote d'Ivoire,CIV,35.3,40.626932513803,121.388699871755,4.73502206212113,46
Croatia,HRV,28.9,48.1685613036476,112.795275590551,0.681198197003712,76
Cuba,CUB,..,..,..,..,86
Curacao,CUW,..,71.4516506514737,..,0,..
Cyprus,CYP,31.3,69.1495418540169,104.348039621067,0.0127645649104764,75
Czechia,CZE,26.2,57.9471972568405,124.771546317864,0.394999591152656,83
Denmark,DNK,28.3,100.018369599606,112.864922774752,0.33866438619955,85
Djibouti,DJI,..,50.7694026111987,105.423336426976,0.277110490356489,47
Dominica,DMA,..,52.985120702673,109.097704942729,0.0330678676450178,75
Dominican Republic,DOM,38.5,38.6654786936087,148.476613026711,2.07711318519727,78
Ecuador,ECU,45.8,44.8739469051361,123.886850743311,6.69943720189179,78
"Egypt, Arab Rep.",EGY,28.5,24.5673676217871,318.936481308266,5.1391200748227,71
El Salvador,SLV,39,42.9484784603119,114.656913864201,0.535264947589614,78
Equatorial Guinea,GNQ,..,41.2903242977651,130.14745508982,23.500064053404,50
Eritrea,ERI,..,32.7593959979157,..,..,39
Estonia,EST,31.8,63.1701599612393,127.257572871023,1.72122598420606,79
Ethiopia,ETH,31.1,34.5002826134764,492.356913864235,5.86707347361267,29
Faroe Islands,FRO,..,101.444450252803,..,0,..
Fiji,FJI,..,43.9502521788072,132.070621413067,2.25290361305504,69
Finland,FIN,27.7,93.5002341988357,115.130462665655,0.448312840515242,86
France,FRA,31.5,83.2584127577506,112.388921149413,0.0325366370984223,82
French Polynesia,PYF,..,..,..,0.00357012625688161,..
Gabon,GAB,..,44.167537961127,125.637671569116,18.4933440925176,48
"Gambia, The",GMB,..,28.1478865301837,196.461489499352,2.85673041093642,49
Georgia,GEO,34.2,26.8751327125942,154.011208333333,1.38946631019879,70
Germany,DEU,33.6,83.5839028910839,116.484275880085,0.0770848993139744,86
Ghana,GHA,..,37.0062130126205,336.492909542398,13.3474845007777,54
Greece,GRC,32.9,61.5985346372083,101.909213734394,0.0875219452812631,78
Greenland,GRL,..,83.8878914645498,..,..,..
Grenada,GRD,..,62.8981766877352,108.57648052784,0,76
Guam,GUM,..,..,..,0,..
Guatemala,GTM,..,41.5438791843126,153.80123012521,1.92928512463796,59
Guinea,GIN,..,33.2984860934204,327.371054687123,4.51955879028644,41
Guinea-Bissau,GNB,33.4,36.736673852764,116.559575493745,10.4285037712862,44
Guyana,GUY,..,43.1247336115483,123.251485665774,33.6832711741997,80
Haiti,HTI,..,58.5477871520706,305.355546890834,0.327641965983974,44
Honduras,HND,..,44.0940832877959,162.529327177779,1.22455313744521,64
"Hong Kong SAR, China",HKG,..,75.5416427954355,137.102951115116,0.000992608591579756,..
Hungary,HUN,..,48.9380376007852,132.112676056338,0.402362635857113,80
