Year,Country Name,Country Code,Gini index [SI.POV.GINI] - 2021 [YR2021],Gini_Index_Rank,Price level index (GDP) [PA.NUS.GDP.PLI] - 2021 [YR2021],Price_Level_Index_Rank,Consumer price index (2010 = 100) [FP.CPI.TOTL] - 2021 [YR2021],Consumer_Price_Index_Rank,Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS] - 2021 [YR2021],Natural_Resources_Rents_Rank,UHC service coverage index [SH_UHC_SCI] - 2021 [YR2021],UHC_Service_Coverage_Rank
2021,Switzerland,CHE,33.8,31,115.633508569553,197,99.3992842451936,1,0.0091074031194559,13,86.0,6
2021,Syrian Arab Republic,SYR,,68,14.4488910531509,1,,178,,181,72.0,20
2021,Tajikistan,TJK,32.4,24,22.497936388379,4,,178,9.04634759702914,134,71.0,21
2021,Tanzania,TZA,,68,33.2043803881312,39,200.742671235263,145,6.69370906979479,121,46.0,43
2021,Thailand,THA,34.9,38,34.8628549688591,49,113.689320040059,29,1.8170265297611,85,82.0,10
2021,Timor-Leste,TLS,,68,39.3393218517303,74,152.951463496811,114,34.7297460391742,175,47.0,42
2021,Togo,TGO,37.9,47,36.4586628132233,56,120.045614301505,53,7.86417419787513,129,38.0,51
2021,Tonga,TON,27.1,6,71.0445400943367,156,135.565368559565,95,0.0407524657583253,21,70.0,22
2021,Trinidad and Tobago,TTO,,68,58.1080558240389,133,146.995044259351,108,7.85936855870429,128,74.0,18
2021,Tunisia,TUN,33.7,30,31.395345451159,34,173.439427529047,131,2.24923087429424,92,75.0,17
2021,Turkiye,TUR,44.4,61,31.0904649819534,32,314.806147234679,160,0.827048726504594,64,77.0,15
2021,Turkmenistan,TKM,,68,34.8256878930259,48,,178,,181,80.0,12
2021,Turks and Caicos Islands,TCA,,68,109.070706367493,193,,178,0.0032675007747061,9,,59
2021,Tuvalu,TUV,,68,110.313946574658,194,,178,0.0,1,65.0,27
2021,Uganda,UGA,,68,32.8796239505827,38,185.892180700766,138,7.47552032336567,126,53.0,37
2021,Ukraine,UKR,,68,26.7613835467203,12,316.447595987548,161,7.5129023639251,127,79.0,13
