Country,Year,Econ_Index,Institutional_Index,Quality_Of_Life_Index_FA,Sustainability_Index_FA,Weight_Scheme,Economic_Weight,Institutional_Weight,Quality_of_Life_Weight,Sustainability_Weight,Sensitivity_EoLI_Score,Sensitivity_EoLI_Rank,Baseline_Rank,Rank_Change_vs_Baseline
Ecuador,1973,-0.854,-0.14724,-0.934,-0.636,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.67261,113,113,0
Algeria,1973,-0.89,0.00099,-1.925,-1.29766,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-1.0906514999999999,233,233,0
Denmark,1973,-0.664,0.08413,0.585,0.33547,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.11010299999999998,8,8,0
Canada,1973,-0.692,-0.33073,0.707,0.24647,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.028737999999999993,11,11,0
Switzerland,1973,-0.379,-0.48806,0.501,-0.01605,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.04382250000000001,27,27,0
Chile,1973,-0.618,-0.44591,-0.113,0.07772,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.29386949999999995,77,77,0
China,1973,-0.839,-0.21426,-0.601,-0.80438,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.5943219999999999,103,103,0
Colombia,1973,-0.995,-0.55479,-0.345,0.1351,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.4879325,97,97,0
Costa Rica,1973,-0.952,-0.50523,0.103,0.10862,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.3119645,80,80,0
Spain,1973,-0.942,-0.64284,0.244,0.25566,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.27246099999999995,74,74,0
Germany,1973,-0.741,0.02563,0.232,0.26387,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.058061999999999996,32,32,0
Morocco,1974,-0.936,0.11918,-1.656,-1.12604,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.9527109999999999,193,193,0
Mexico,1974,-1.015,-1.15244,-0.683,-1.08993,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.9443995000000001,191,191,0
Malaysia,1974,-0.987,-0.73507,-0.073,-0.47195,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.52686,103,103,0
Malta,1974,-0.811,-0.45399,0.262,0.06015,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.21552500000000002,69,69,0
Indonesia,1974,-0.977,0.23183,-1.052,-0.68198,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6567894999999999,118,118,0
India,1974,-1.03,0.86278,-1.224,-1.10801,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.6364065,115,115,0
Ireland,1974,-0.821,-0.14516,0.208,0.34584,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.116864,52,52,0
Iceland,1974,-0.453,-0.07009,0.562,-0.02949,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,0.061504,14,14,0
Israel,1974,-0.522,-0.41192,0.361,0.19374,Baseline_25_25_35_15,0.25,0.25,0.35,0.15,-0.07806900000000003,39,39,0
