Year,Country,Economic_Rank
1973,Israel,89
1973,Morocco,90
1973,French Polynesia,91
1973,South Asia,92
1973,Somalia,92
1973,Honduras,93
1973,High income,94
1973,Guyana,95
1973,Heavily indebted poor countries (HIPC),95
1973,Haiti,95
1973,Jamaica,96
1973,Myanmar,97
1973,Mozambique,97
1973,Equatorial Guinea,98
1973,Faroe Islands,99
1973,European Union,99
1973,Europe & Central Asia (excluding high income),99
1973,Fiji,99
1973,Fragile and conflict affected situations,99
1973,Peru,100
1973,Austria,102
1973,Japan,103
1973,New Caledonia,104
1973,El Salvador,105
1973,Nigeria,106
1973,Niger,106
1973,China,107
1973,United Kingdom,108
1973,Sint Maarten (Dutch part),109
1973,Sierra Leone,109
1973,IDA blend,110
1973,New Zealand,111
1973,Paraguay,112
1973,Nicaragua,113
1973,IBRD only,114
1973,IDA & IBRD total,114
1973,Netherlands,115
1973,Ecuador,115
1973,Malta,116
1973,Marshall Islands,117
1973,Mali,117
1973,East Asia & Pacific (excluding high income),118
1973,Panama,119
1973,Italy,120
1973,Tunisia,120
1973,East Asia & Pacific,121
1973,East Asia & Pacific (IDA & IBRD countries),121
1973,Finland,122
1973,Timor-Leste,123
1973,Tanzania,123
1973,Togo,123
1973,Gibraltar,125
1973,Grenada,126
1973,Guam,126
1973,Guatemala,126
1973,Albania,127
1973,Angola,127
1973,Africa Eastern and Southern,127
1973,Africa Western and Central,127
1973,Afghanistan,127
1973,Guinea,128
1973,Trinidad and Tobago,129
1973,Guinea-Bissau,130
1973,Tonga,131
1973,Hungary,132
1973,Jordan,133
1973,South Asia (IDA & IBRD),134
1973,South Sudan,135
1973,Malaysia,136
1973,Algeria,136
1973,"Gambia, The",137
1973,Isle of Man,138
1973,Gabon,139
1973,Papua New Guinea,140
1973,Namibia,141
1973,Nauru,142
1973,Luxembourg,143
1973,Madagascar,143
1973,Maldives,143
1973,Malawi,143
1973,Singapore,144
1973,St. Vincent and the Grenadines,146
1973,St. Martin (French part),146
1973,St. Lucia,146
1973,Sri Lanka,146
1973,St. Kitts and Nevis,146
1973,Iraq,147
1973,Thailand,148
1973,Nepal,148
1973,Turkmenistan,149
1973,Turks and Caicos Islands,149
1973,Georgia,150
1973,Ireland,151
1973,India,152
1973,"Micronesia, Fed. Sts.",153
1973,Mauritius,153
1973,Middle East & North Africa (IDA & IBRD countries),153
1973,Middle East & North Africa,153
1973,Mauritania,153
1973,"Congo, Rep.",154
1973,Spain,155
1973,Mexico,156
1973,Costa Rica,157
1973,Greece,158
1973,Other small states,159
1973,Pacific island small states,159
1973,Comoros,160
1973,"Congo, Dem. Rep.",160
1973,Colombia,161
1973,Uzbekistan,162
1973,Vanuatu,163
1973,Philippines,164
1973,Pakistan,165
1973,Uruguay,166
1973,Indonesia,167
1974,United Arab Emirates,1
1974,Tajikistan,2
1974,Qatar,3
1974,Slovenia,4
1974,Solomon Islands,4
1974,Small states,4
1974,Curacao,5
1974,Cyprus,6
1974,Kuwait,7
1974,Puerto Rico,8
1974,Kosovo,9
1974,"Korea, Dem. People's Rep.",9
1974,Late-demographic dividend,9
1974,Kyrgyz Republic,9
1974,Lao PDR,9
1974,Croatia,10
1974,Cuba,11
1974,Euro area,12
1974,Europe & Central Asia (IDA & IBRD countries),12
1974,Europe & Central Asia,12
1974,Estonia,12
1974,Eswatini,12
1974,Eritrea,12
1974,Ethiopia,12
1974,Latin America & Caribbean,14
1974,Latvia,15
1974,Latin America & the Caribbean (IDA & IBRD countries),16
1974,Latin America & Caribbean (excluding high income),16
1974,Least developed countries: UN classification,16
1974,Lithuania,17
1974,Libya,19
1974,Low & middle income,19
1974,Lower middle income,19
1974,Low income,19
1974,Lesotho,20
1974,Liberia,21
1974,Lebanon,22
1974,Poland,23
1974,Montenegro,24
1974,Denmark,25
1974,Saudi Arabia,26
1974,Switzerland,27
1974,Samoa,29
1974,Rwanda,29
1974,Antigua and Barbuda,30
1974,Arab World,30
1974,Suriname,31
1974,Sudan,31
1974,Sub-Saharan Africa (excluding high income),31
1974,Sub-Saharan Africa,31
1974,Sub-Saharan Africa (IDA & IBRD countries),31
1974,Sao Tome and Principe,32
1974,Senegal,32
1974,Argentina,33
1974,Dominica,34
1974,Dominican Republic,34
1974,Early-demographic dividend,34
1974,Djibouti,34
1974,Sweden,35
1974,Australia,35
1974,Iceland,36
1974,Belgium,37
1974,Finland,37
1974,IDA only,38
1974,IDA total,38
1974,Botswana,40
1974,Bolivia,40
1974,Bhutan,41
1974,Bermuda,42
1974,Belize,42
1974,Benin,42
1974,Serbia,43
1974,Israel,44
1974,European Union,45
1974,Europe & Central Asia (excluding high income),45
1974,Fiji,45
1974,Fragile and conflict affected situations,45
1974,North Macedonia,46
1974,Bulgaria,47
1974,Brunei Darussalam,48
1974,Burkina Faso,48
1974,British Virgin Islands,49
1974,Cabo Verde,50
1974,Burundi,50
1974,North America,51
1974,Germany,52
1974,Brazil,53
1974,Romania,54
1974,Azerbaijan,55
1974,Kenya,56
1974,Kiribati,56
1974,Kazakhstan,57
1974,Upper middle income,58
1974,Aruba,59
1974,"Bahamas, The",60
1974,Ghana,61
1974,Belarus,62
1974,Barbados,63
1974,Armenia,64
1974,Japan,65
1974,France,66
1974,OECD members,68
1974,Oman,68
1974,High income,69
1974,Honduras,69
1974,Heavily indebted poor countries (HIPC),70
1974,Haiti,70
1974,Cameroon,71
1974,Cambodia,71
1974,Guyana,72
1974,Caribbean small states,73
1974,Central African Republic,73
1974,French Polynesia,74
1974,United States,75
1974,Canada,76
1974,Jamaica,77
1974,Bangladesh,78
1974,China,79
1974,Mongolia,80
1974,Norway,81
1974,Greece,82
1974,United Kingdom,83
1974,Tuvalu,85
1974,Uganda,85
1974,Netherlands,86
1974,World,87
1974,Virgin Islands (U.S.),87
1974,Zambia,87
1974,Zimbabwe,87
1974,"Yemen, Rep.",87
1974,Bahrain,88
1974,Grenada,89
1974,Gibraltar,89
1974,Guam,89
1974,Guatemala,89
1974,Ukraine,90
1974,Guinea,92
1974,Guinea-Bissau,93
1974,IDA blend,94
1974,IDA & IBRD total,95
1974,IBRD only,95
1974,Hungary,96
1974,Peru,97
1974,Nicaragua,98
1974,Moldova,99
1974,Sint Maarten (Dutch part),100
1974,Sierra Leone,101
1974,Middle income,102
1974,Middle East & North Africa (excluding high income),103
1974,Channel Islands,104
1974,Central Europe and the Baltics,104
1974,Chad,104
1974,Nigeria,105
1974,Niger,105
1974,New Caledonia,106
1974,Paraguay,107
1974,Malta,108
1974,Italy,109
1974,Algeria,109
1974,Pre-demographic dividend,110
1974,Ireland,111
1974,Isle of Man,112
1974,Albania,113
1974,Angola,113
1974,Africa Eastern and Southern,113
1974,Africa Western and Central,113
1974,Afghanistan,113
1974,Post-demographic dividend,114
1974,New Zealand,115
1974,Austria,116
1974,Equatorial Guinea,117
1974,Marshall Islands,118
1974,Mali,118
1974,El Salvador,120
1974,Chile,121
1974,Spain,122
1974,Iraq,124
1974,South Africa,126
1974,Sri Lanka,127
1974,St. Martin (French part),127
1974,St. Vincent and the Grenadines,127
1974,St. Lucia,127
1974,St. Kitts and Nevis,127
1974,Costa Rica,128
1974,"Gambia, The",129
1974,Gabon,130
1974,Myanmar,131
1974,Mozambique,131
1974,South Asia,132
1974,Somalia,132
1974,Portugal,133
1974,"Congo, Rep.",134
1974,Singapore,135
1974,Philippines,136
1974,Luxembourg,137
1974,Madagascar,137
1974,Maldives,137
1974,Malawi,137
1974,Papua New Guinea,138
1974,Nauru,139
1974,Morocco,140
1974,Namibia,141
1974,East Asia & Pacific (excluding high income),142
1974,East Asia & Pacific,143
1974,East Asia & Pacific (IDA & IBRD countries),143
1974,Georgia,144
1974,Timor-Leste,145
1974,Tanzania,145
1974,Jordan,146
1974,Nepal,147
1974,Tonga,148
1974,Trinidad and Tobago,149
1974,Togo,150
1974,"Micronesia, Fed. Sts.",151
1974,Middle East & North Africa (IDA & IBRD countries),151
1974,Middle East & North Africa,151
1974,Mauritius,152
1974,Mauritania,152
1974,Indonesia,153
1974,Uruguay,154
1974,Panama,155
1974,Tunisia,156
1974,Thailand,157
1974,Malaysia,157
1974,Uzbekistan,158
1974,Vanuatu,158
1974,Turks and Caicos Islands,159
1974,Turkmenistan,159
1974,Comoros,160
1974,"Congo, Dem. Rep.",160
1974,Colombia,162
1974,Ecuador,162
1974,Pacific island small states,163
1974,Other small states,163
1974,Pakistan,164
1974,Mexico,165
1974,South Sudan,166
1974,South Asia (IDA & IBRD),167
1974,India,168
1975,United Arab Emirates,1
1975,Tajikistan,2
1975,Qatar,3
1975,Slovenia,4
1975,Solomon Islands,4
1975,Small states,4
1975,Puerto Rico,5
1975,Switzerland,6
1975,Kuwait,7
1975,Kosovo,8
1975,"Korea, Dem. People's Rep.",8
1975,Late-demographic dividend,8
1975,Kyrgyz Republic,8
1975,Lao PDR,8
1975,Croatia,9
1975,Estonia,10
1975,Europe & Central Asia,11
1975,Europe & Central Asia (IDA & IBRD countries),11
1975,Euro area,12
1975,Eswatini,12
1975,Ethiopia,12
1975,Eritrea,12
1975,Poland,14
1975,Cuba,15
1975,Latvia,16
1975,Latin America & Caribbean,16
1975,Latin America & the Caribbean (IDA & IBRD countries),16
1975,Latin America & Caribbean (excluding high income),16
1975,Least developed countries: UN classification,16
1975,Lithuania,17
1975,Libya,19
1975,Low & middle income,19
1975,Lesotho,20
1975,Liberia,21
1975,Lebanon,22
1975,Saudi Arabia,23
1975,Lower middle income,24
1975,Low income,24
1975,Denmark,25
1975,Sao Tome and Principe,26
1975,Senegal,26
1975,Suriname,27
1975,Sudan,27
1975,Sub-Saharan Africa (excluding high income),27
1975,Sub-Saharan Africa (IDA & IBRD countries),27
1975,Sub-Saharan Africa,27
1975,Belgium,28
1975,Dominica,29
1975,Dominican Republic,29
1975,Djibouti,29
1975,Early-demographic dividend,30
1975,Montenegro,31
1975,Argentina,32
1975,Finland,33
1975,Rwanda,34
1975,Arab World,35
1975,Antigua and Barbuda,36
1975,Samoa,37
1975,Bermuda,38
1975,Benin,39
1975,Belize,40
1975,Sweden,41
1975,Germany,43
1975,European Union,44
1975,Europe & Central Asia (excluding high income),44
1975,Fiji,44
1975,Fragile and conflict affected situations,44
1975,Iceland,45
1975,Norway,46
1975,Curacao,47
1975,Singapore,48
1975,Chile,49
1975,Sint Maarten (Dutch part),50
1975,Sierra Leone,51
1975,Ghana,52
1975,IDA only,53
1975,IDA total,54
1975,Bhutan,55
1975,OECD members,56
1975,Oman,56
1975,United States,57
1975,Bolivia,58
1975,Botswana,59
1975,Upper middle income,61
1975,Serbia,62
1975,North America,63
1975,Israel,64
1975,North Macedonia,65
1975,Brunei Darussalam,66
1975,Burkina Faso,66
1975,Bulgaria,67
1975,British Virgin Islands,68
1975,Cabo Verde,69
1975,Burundi,69
1975,France,70
1975,Brazil,70
1975,Malaysia,72
1975,Romania,73
1975,Azerbaijan,74
1975,Kenya,75
1975,Kiribati,75
1975,Kazakhstan,76
1975,Barbados,77
1975,"Bahamas, The",78
1975,Central Europe and the Baltics,79
1975,Belarus,80
1975,Armenia,81
1975,Channel Islands,82
1975,Chad,82
1975,French Polynesia,83
1975,Aruba,84
1975,Caribbean small states,85
1975,Central African Republic,85
1975,Cambodia,85
1975,Cameroon,85
1975,Bahrain,86
1975,High income,87
1975,Guyana,87
1975,Honduras,87
1975,Haiti,87
1975,Heavily indebted poor countries (HIPC),87
1975,United Kingdom,88
1975,Bangladesh,89
1975,Canada,90
1975,Italy,91
1975,Australia,92
1975,New Zealand,93
1975,Luxembourg,95
1975,Madagascar,95
1975,Maldives,95
1975,Malawi,95
1975,Netherlands,96
1975,New Caledonia,97
1975,Mongolia,98
1975,Jamaica,99
1975,Uganda,100
1975,Japan,101
1975,Tuvalu,103
1975,Virgin Islands (U.S.),104
1975,World,104
1975,Zimbabwe,104
1975,Zambia,104
1975,"Yemen, Rep.",104
1975,Austria,105
1975,Ukraine,106
1975,Pre-demographic dividend,107
1975,Cyprus,108
1975,Post-demographic dividend,109
1975,Marshall Islands,110
1975,Mali,110
1975,Middle income,111
1975,Moldova,112
1975,Middle East & North Africa (excluding high income),113
1975,Gibraltar,114
1975,Portugal,115
1975,Guam,116
1975,Grenada,116
1975,Guatemala,116
1975,IDA blend,117
1975,Guinea-Bissau,118
1975,Guinea,118
1975,Spain,119
1975,IDA & IBRD total,120
1975,IBRD only,120
1975,Malta,121
1975,Paraguay,122
1975,Peru,123
1975,Nigeria,124
1975,Niger,124
1975,St. Kitts and Nevis,126
